Unnamed: 0,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,Predicted Total,Predicted Brooklyn Bridge,Predicted Manhattan Bridge,Predicted Williamsburg Bridge,Predicted Queensboro Bridge
0,2016-04-01,2016-04-01 00:00:00,78.1,66.0,0.01,1704.0,3126,4115.0,2552.0,11497,20779.60422971085,3310.306125163038,5873.416665312765,7105.39645065374,4505.148083729888
1,2016-04-02,2016-04-02 00:00:00,55.0,48.9,0.15,827.0,1646,2565.0,1884.0,6922,9461.907111099577,1326.2802517408675,2474.9246370965275,3283.6545528291535,2368.1211900111384
2,2016-04-03,2016-04-03 00:00:00,39.9,34.0,0.09,526.0,1232,1695.0,1306.0,4759,8071.452947969283,1143.0959891033947,2136.658124720581,2718.817903763214,2076.8287653345947
3,2016-04-04,2016-04-04 00:00:00,44.1,33.1,0.47,521.0,1067,1440.0,1307.0,4335,3867.310518121204,453.9466226704455,889.7156524026019,1394.8908567009514,1159.62655102248
4,2016-04-05,2016-04-05 00:00:00,42.1,26.1,0.0,1416.0,2617,3081.0,2357.0,9471,10831.343414510517,1664.7731155073338,3003.2200612681177,3504.252125793774,2661.6188855543196
5,2016-04-06,2016-04-06 00:00:00,45.0,30.0,0.0,1885.0,3329,3856.0,2849.0,11919,11395.069588494009,1753.7739286501862,3163.3596886949767,3708.8073471131142,2770.7712782053936
6,2016-04-07,2016-04-07 00:00:00,57.0,53.1,0.09,1276.0,2581,3282.0,2457.0,9596,11107.122805233052,1603.5037610465733,2972.3148387028477,3838.7914317149057,2687.178826178291
7,2016-04-08,2016-04-08 00:00:00,46.9,44.1,0.01,1982.0,3455,4113.0,3194.0,12744,10856.229873890199,1608.542203944685,2971.728671907753,3657.544464058058,2628.632367102568
8,2016-04-09,2016-04-09 00:00:00,43.0,37.9,0.09,504.0,997,1507.0,1502.0,4510,8533.123135472524,1211.1585758635745,2262.377800665755,2890.8859249860348,2171.09402720193
9,2016-04-10,2016-04-10 00:00:00,48.9,30.9,0.0,1447.0,2387,3132.0,2160.0,9126,12475.975201399697,1947.9324140080007,3483.395949877363,4049.6750354423248,2992.811360893435
10,2016-04-11,2016-04-11 00:00:00,62.1,46.0,0.01,2005.0,3791,4334.0,3182.0,13312,15583.70884863999,2453.4341102597964,4369.1160848320715,5174.70537282046,3580.2461637618294
11,2016-04-12,2016-04-12 00:00:00,57.0,45.0,0.2,1045.0,2178,2762.0,2082.0,8067,9073.013861734162,1262.3106598700742,2343.8881256339673,3141.7852021032527,2306.775218207459
12,2016-04-13,2016-04-13 00:00:00,57.0,39.9,0.0,2840.0,5395,5995.0,4192.0,18422,14516.327939660609,2287.520314029142,4074.1369238135685,4769.138704486258,3382.1411717809883
13,2016-04-14,2016-04-14 00:00:00,62.1,44.6,0.0,2861.0,5309,6030.0,4115.0,18315,16048.662894406902,2550.8524052005814,4523.062347621638,5300.04850445646,3671.629370909297
14,2016-04-15,2016-04-15 00:00:00,64.0,44.1,0.0,2770.0,5072,5816.0,3912.0,17570,16854.408707086164,2705.080126926103,4767.710494875187,5545.927362141462,3831.157245203921
15,2016-04-16,2016-04-16 00:00:00,66.0,45.0,0.0,2384.0,4316,5624.0,4051.0,16375,17616.332102673194,2844.675715595771,4995.87720198143,5794.9138765428515,3976.389024803383
16,2016-04-17,2016-04-17 00:00:00,73.9,46.0,0.0,3147.0,4969,5867.0,4197.0,18180,21256.019066056357,3542.2454134098207,6103.437290701425,6939.92416785748,4668.7428082947845
